0-60 			ff000000
1-59 			ff1E1E1E
2-58 			ff7F7F7F
3-57 			ffFFFFFF 
4-1 			ffFF4C4C 
5-2 			ffFF0000 
6-3 			ff590000 
7-4 			ff190000 
8-5 			ffFFBD6C 
9-6 			ffFF5400 
10-7 			ff591D00 
11-8 			ff271B00 
12-9 			ffFFFF4C 
13-10 			ffFFFF00 
14-11 			ff595900 
15-12 			ff191900 
16-13 			ff88FF4C 
17-14 			ff54FF00 
18-15 			ff1D5900 
19-16 			ff142B00 
20-17 			ff4CFF4C 
21-18 			ff00FF00 
22-19 			ff005900 
23-20 			ff001900 
24-21 			ff4CFF5E 
25-22 			ff00FF19 
26-23 			ff00590D 
27-24 			ff001902 
28-25 			ff4CFF88 
29-26 			ff00FF55 
30-27 			ff00591D 
31-28 			ff001F12 
32-29 			ff4CFFB7 
33-30 			ff00FF99 
34-31 			ff005935 
35-32 			ff001912 
36-33 			ff4CC3FF 
37-34 			ff00A9FF 
38-35 			ff004152 
39-36 			ff001019 
40-37 			ff4C88FF 
41-38 			ff0055FF 
42-39 			ff001D59 
43-40 			ff000819 
44-41 			ff4C4CFF 
45-42 			ff0000FF 
46-43 			ff000059 
47-44 			ff000019 
48-45 			ff874CFF 
49-46 			ff5400FF 
50-47 			ff190064 
51-48 			ff0F0030 
52-49 			ffFF4CFF 
53-50 			ffFF00FF 
54-51 			ff590059 
55-52 			ff190019 
56-53 			ffFF4C87 
57-54 			ffFF0054 
58-55 			ff59001D 
59-56 			ff220013 
60-0xED4325 	ffFF1500 
61-0xBD6100 	ff993500 
62-0xB08B00 	ff795100 
63-0x85961F 	ff436400 
64-0x539F31 	ff033900 
65-0x0A9C8E		ff005735 
66-0x007ABD 	ff00547F 
67-0x0303FF 	ff0000FF 
68-0x2F52A2 	ff00454F 
69-0x624BAD 	ff2500CC 
70-0x7B7B7B 	ff7F7F7F 
71-0x3C3C3C 	ff202020 
72-0xFF0505 	ffFF0000 
73-0xBFBA69 	ffBDFF2D 
74-0xA6BE00 	ffAFED06 
75-0x7AC634 	ff64FF09 
76-0x3DC300 	ff108B00 
77-0x00BFAF 	ff00FF87 
78-0x10A4EE 	ff00A9FF 
79-0x5480E4 	ff002AFF 
80-0x886CE4 	ff3F00FF 
81-0xA34BAD 	ff7A00FF 
82-0xB73D69 	ffB21A7D 
83-0x965735 	ff402100 
84-0xF66C03 	ffFF4A00 
85-0xBFFB00 	ff88E106 
86-0x87FF67 	ff72FF15 
87-0x1AFF2F 	ff00FF00 
88-0x25FFA8 	ff3BFF26 
89-0x5CFFE8 	ff59FF71 
90-0x19E9FF 	ff38FFCC 
91-0x8BC5FF 	ff5B8AFF 
92-0x92A7FF 	ff3151C6 
93-0xB88DFF 	ff877FE9 
94-0xD86CE4 	ffD31DFF 
95-0xFF39D4 	ffFF005D 
96-0xFFA529 	ffFF7F00 
97-0xFFF034 	ffB9B000 
98-0xE3F403 	ff90FF00 
99-0xDBC300 	ff835D07 
100-0xBE9D63 	ff392b00 
101-0x89B47D 	ff144C10 
102-0x88C2BA 	ff0D5038 
103-0x9BB3C4 	ff15152A 
104-0x85A5C2 	ff16205A 
105-0xC68B7C 	ff693C1C 
106-0xF14080 	ffA8000A 
107-0xFF94A6 	ffDE513D 
108-0xFFA374 	ffD86A1C 
109-0xFFEE9F 	ffFFE126 
110-0xD2E498 	ff9EE12F 
111-0xBAD074 	ff67B50F 
112-0xA9A9A9 	ff1E1E30 
113-0xD4FDE1 	ffDCFF6B 
114-0xCDF1F8 	ff80FFBD 
115-0xB9C1E3 	ff9A99FF 
116-0xCDBBE4 	ff8E66FF 
117-0xD0D0D0 	ff404040 
118-0xDFE6E5 	ff757575 
119-0xFFFFFF 	ffE0FFFF 
120-Red 		ffA00000 
121-Red Half 	ff350000 
122-Green 		ff1AD000 
123-Green Half 	ff074200 
124-Yellow 		ffB9B000 
125-Yellow Half	ff3F3100 
126-Amber 		ffB35F00 
127-Amber Half 	ff4B1502 
